full_name,affilitation,code,family_name,wage,declaration_web
SBROLLINI Daniela,IV-PSI,25402,Sbrollini,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Sbrollini_2021.pdf?
SCHIFANI Renato,FIBP-UDC,3939,Schifani,114050,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Schifani_2021.pdf?
SCIASCIA Salvatore,FIBP-UDC,25206,Sciascia,984374,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Sciascia_2021.pdf?
SEGRE Liliana,Misto,32435,Segre,247274,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Segre_2021.pdf?
SERAFINI Giancarlo,FIBP-UDC,25207,Serafini,142786,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Serafini_2021.pdf?
SICLARI Marco,FIBP-UDC,32714,Siclari,96479,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Siclari_2021.pdf?
SILERI Pierpaolo,Ipf-CD,14224,Sileri,170026,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Sileri_2021.pdf?
SIRI Armando,L-SP-PSd'Az,32715,Siri,178855,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Siri_2021.pdf?
SOLINAS Christian,,32716,Solinas,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Solinas_2021.pdf?
STABILE Laura,FIBP-UDC,32717,Stabile,170503,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Stabile_2021.pdf?
STANCANELLI Raffaele,,25269,Stancanelli,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Stancanelli_2021.pdf?
STEFANI Erika,L-SP-PSd'Az,29185,Stefani,114898,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Stefani_2021.pdf?
STEFANO Dario,PD,29186,Stefano,123039,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Stefano_2021.pdf?
STEGER Dieter,"Aut (SVP-PATT, UV)",32718,Steger,87740,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Steger_2021.pdf?
SUDANO Valeria,L-SP-PSd'Az,32719,Sudano,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Sudano_2021.pdf?
TARICCO Mino,PD,29591,Taricco,106508,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Taricco_2021.pdf?
TAVERNA Paola,M5S,29189,Taverna,193107,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Taverna_2021.pdf?
TESEI Donatella,,32720,Tesei,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Tesei_2021.pdf?
TESTOR Elena,L-SP-PSd'Az,32721,Testor,152155,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Testor_2021.pdf?
TIRABOSCHI Maria Virginia,FIBP-UDC,32722,Tiraboschi,134149,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Tiraboschi_2021.pdf?
TOFFANIN Roberta,FIBP-UDC,32723,Toffanin,119652,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Toffanin_2021.pdf?
TONINELLI Danilo,M5S,29599,Toninelli,95314,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Toninelli_2021.pdf?
TOSATO Paolo,L-SP-PSd'Az,30915,Tosato,127629,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Tosato_2021.pdf?
TOTARO Achille,FdI,22784,Totaro,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Totaro_2021.pdf?
TRENTACOSTE Fabrizio,Ipf-CD,32725,Trentacoste,100628,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Trentacoste_2021.pdf?
TURCO Mario,M5S,32726,Turco,150611,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Turco_2021.pdf?
UNTERBERGER Julia,"Aut (SVP-PATT, UV)",32727,Unterberger,146220,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Unterberger_2021.pdf?
URRARO Francesco,L-SP-PSd'Az,32728,Urraro,102176,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Urraro_2021.pdf?
URSO Adolfo,FdI,2444,Urso,110035,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Urso_2021.pdf?
VACCARO Sergio,Ipf-CD,32729,Vaccaro,97866,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Vaccaro_2021.pdf?
VALENTE Valeria,PD,29604,Valente,129131,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Valente_2021.pdf?
VALLARDI Gianpaolo,L-SP-PSd'Az,25218,Vallardi,127164,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Vallardi_2021.pdf?
VANIN Orietta,M5S,32730,Vanin,98173,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Vanin_2021.pdf?
VATTUONE Vito,PD,29194,Vattuone,98448,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Vattuone_2021.pdf?
VERDUCCI Francesco,PD,28924,Verducci,104823,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Verducci_2021.pdf?
VESCOVI Manuel,L-SP-PSd'Az,32753,Vescovi,108085,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Vescovi_2021.pdf?
VITALI Luigi,FIBP-UDC,4584,Vitali,165450,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Vitali_2021.pdf?
VONO Gelsomina,FIBP-UDC,32731,Vono,100579,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Vono_2021.pdf?
ZAFFINI Francesco,FdI,32732,Zaffini,134017,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Zaffini_2021.pdf?
ZANDA Luigi,PD,20658,Zanda,187696,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Zanda_2021.pdf?
ZULIANI Cristiano,L-SP-PSd'Az,32733,Zuliani,101765,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Zuliani_2021.pdf?
