full_name,affilitation,code,family_name,wage,declaration_web
GRANATO Bianca Laura,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,32641,Granato,97627,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Granato_2021.pdf?
GRASSI Ugo,Misto,32642,Grassi,106078,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Grassi_2021.pdf?
GRASSO Pietro,Misto,29110,Grasso,256784,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Grasso_2021.pdf?
GRIMANI Leonardo,Misto,32643,Grimani,101106,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Grimani_2021.pdf?
GUIDOLIN Barbara,M5S,32644,Guidolin,98376,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Guidolin_2021.pdf?
IANNONE Antonio,FdI,32645,Iannone,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Iannone_2021.pdf?
IORI Vanna,PD,29443,Iori,131378,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Iori_2021.pdf?
IWOBI Tony Chike,L-SP-PSd'Az,32646,Iwobi,103552,https://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Iwobi_2021.pdf?
L'ABBATE Patty,M5S,32647,L'Abbate,95719,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/LAbbate_2021.pdf?
LAFORGIA Francesco,Misto,29450,Laforgia,137202,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Laforgia_2021.pdf?
LA MURA Virginia,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,32648,La,99692,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/La_Mura_2021.pdf?
LANIECE Albert,"Aut (SVP-PATT, UV)",29115,Laniece,163948,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Laniece_2021.pdf?
LANNUTTI Elio,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,17211,Lannutti,129447,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lannutti_2021.pdf?
LANZI Gabriele,M5S,32649,Lanzi,148638,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lanzi_2021.pdf?
LA PIETRA Patrizio Giacomo,FdI,32650,La,105836,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/La_Pietra_2021.pdf?
LA RUSSA Ignazio,FdI,1275,La,356945,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/La_Russa_2021.pdf?
LAUS Mauro Antonio Donato,PD,32651,Laus,259237,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Laus_2021.pdf?
LEONE Cinzia,Ipf-CD,32652,Leone,100632,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Leone_2021.pdf?
LEZZI Barbara,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,29117,Lezzi,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lezzi_2021.pdf?
LICHERI Ettore Antonio,M5S,32653,Licheri,102817,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Licheri_2021.pdf?
LOMUTI Arnaldo,M5S,32654,Lomuti,100045,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lomuti_2021.pdf?
LONARDO Alessandrina,Misto,4741,Lonardo,124307,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lonardo_2021.pdf?
LOREFICE Pietro,M5S,32655,Lorefice,98760,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lorefice_2021.pdf?
LUCIDI Stefano,L-SP-PSd'Az,29123,Lucidi,103904,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lucidi_2021.pdf?
LUNESU Michelina,L-SP-PSd'Az,34617,Lunesu,162295,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lunesu_2021.pdf?
LUPO Giulia,M5S,32656,Lupo,103957,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Lupo_2021.pdf?
MAFFONI Gianpietro,FdI,33946,Maffoni,135250,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Maffoni_2021.pdf?
MAGONI Lara,,32657,Magoni,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Magoni_2021.pdf?
MAGORNO Ernesto,IV-PSI,29464,Magorno,93296,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Magorno_2021.pdf?
MAIORINO Alessandra,M5S,32658,Maiorino,100060,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Maiorino_2021.pdf?
MALAN Lucio,FdI,1407,Malan,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Malan_2021.pdf?
MALLEGNI Massimo,FIBP-UDC,32659,Mallegni,102207,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Mallegni_2021.pdf?
MALPEZZI Simona Flavia,PD,29467,Malpezzi,100666,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Malpezzi_2021.pdf?
MANCA Daniele,PD,32660,Manca,95453,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Manca_2021.pdf?
MANGIALAVORI Giuseppe Tommaso Vincenzo,FIBP-UDC,32661,Mangialavori,335447,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Mangialavori_2021.pdf?
MANTERO Matteo,Misto,29470,Mantero,100285,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Mantero_2021.pdf?
MANTOVANI Maria Laura,M5S,32662,Mantovani,102283,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Mantovani_2021.pdf?
MARCUCCI Andrea,PD,1458,Marcucci,568349,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Marcucci_2021.pdf?
MARGIOTTA Salvatore,PD,23135,Margiotta,91125,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Margiotta_2021.pdf?
MARILOTTI Gianni,PD,32663,Marilotti,160947,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Marilotti_2021.pdf?
MARIN Raffaella Fiormaria,L-SP-PSd'Az,32664,Marin,102789,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Marin_2021.pdf?
MARINELLO Gaspare Antonio,M5S,32665,Marinello,177443,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Marinello_2021.pdf?
MARINO Mauro Maria,IV-PSI,21507,Marino,161888,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Marino_2021.pdf?
MARSILIO Marco,,25468,Marsilio,,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Marsilio_2021.pdf?
MARTELLI Carlo,Misto,29130,Martelli,100511,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Martelli_2021.pdf?
MARTI Roberto,L-SP-PSd'Az,29480,Marti,99698,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Marti_2021.pdf?
MASINI Barbara,Misto,32666,Masini,100241,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Masini_2021.pdf?
MATRISCIANO Susy,M5S,32667,Matrisciano,96429,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Matrisciano_2021.pdf?
MAUTONE Raffaele,Ipf-CD,32668,Mautone,157483,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Mautone_2021.pdf?
MERLO Ricardo Antonio,Misto,23007,Merlo,99698,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Merlo_2021.pdf?
MESSINA Alfredo,FIBP-UDC,25205,Messina,905822,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Messina_Alfredo_2021.pdf?
MESSINA Assuntela,PD,32669,Messina,101185,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Messina_Assuntela_2021.pdf?
MINASI Tilde,,36013,Minasi,88622,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Minasi_2021.pdf?
MININNO Cataldo,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,32670,Mininno,97352,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Mininno_2021.pdf?
MINUTO Anna Carmela,,32765,Minuto,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Minuto_2021.pdf?
MIRABELLI Franco,PD,29138,Mirabelli,96395,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Mirabelli_2021.pdf?
MISIANI Antonio,PD,23011,Misiani,99558,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Misiani_2021.pdf?
MODENA Fiammetta,FIBP-UDC,32671,Modena,161377,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Modena_2021.pdf?
MOLES Giuseppe,FIBP-UDC,18740,Moles,99841,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Moles_2021.pdf?
MOLLAME Francesco,Misto,32672,Mollame,115383,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Mollame_2021.pdf?
MONTANI Enrico,L-SP-PSd'Az,23015,Montani,99698,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Montani_2021.pdf?
MONTEVECCHI Michela,M5S,29140,Montevecchi,101409,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Montevecchi_2021.pdf?
MONTI Mario,Misto,28543,Monti,455065,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Monti_2021.pdf?
